Date,Open,High,Low,Close,Volume
"2024-03-27","170.4100","173.6000","170.1100","173.3100","60273265"
"2024-03-28","171.7500","172.2300","170.5100","171.4800","65672690"
"2024-04-01","171.1900","171.2500","169.4750","170.0300","43772506"
"2024-04-02","169.0800","169.3400","168.2302","168.8400","49013991"
"2024-04-03","168.7900","170.6800","168.5800","169.6500","45571129"
"2024-04-04","170.2900","171.9200","168.8200","168.8200","53355055"
"2024-04-05","169.5900","170.3900","168.9500","169.5800","41975776"
"2024-04-08","169.0300","169.2000","168.2400","168.4500","37216858"
"2024-04-09","168.7000","170.0800","168.3500","169.6700","42231444"
"2024-04-10","168.8000","169.0900","167.1100","167.7800","49709336"
"2024-04-11","168.3400","175.4600","168.1600","175.0400","91070275"
"2024-04-12","174.2600","178.3600","174.2100","176.5500","101670886"
"2024-04-15","175.3600","176.6300","172.5000","172.6900","73531773"
"2024-04-16","171.7500","173.7600","168.2700","169.3800","73711235"
"2024-04-17","169.6100","170.6500","168.0000","168.0000","50901210"
"2024-04-18","168.0300","168.6400","166.5500","167.0400","43122903"
"2024-04-19","166.2100","166.4000","164.0750","165.0000","68149377"
"2024-04-22","165.5150","167.2600","164.7700","165.8400","48116443"
"2024-04-23","165.3500","167.0500","164.9200","166.9000","49537761"
"2024-04-24","166.5400","169.3000","166.2100","169.0200","48251835"
"2024-04-25","169.5250","170.6100","168.1511","169.8900","50558329"
"2024-04-26","169.8800","171.3400","169.1800","169.3000","44838354"
"2024-04-29","173.3700","176.0300","173.1000","173.5000","68169419"
"2024-04-30","173.3300","174.9900","170.0000","170.3300","65934776"
"2024-05-01","169.5800","172.7050","169.1100","169.3000","50383147"
"2024-05-02","172.5100","173.4150","170.8900","173.0300","94214915"
"2024-05-03","186.6450","187.0000","182.6600","183.3800","163224109"
"2024-05-06","182.3540","184.2000","180.4200","181.7100","78569667"
"2024-05-07","183.4500","184.9000","181.3200","182.4000","77305771"
"2024-05-08","182.8500","183.0700","181.4500","182.7400","45057087"
"2024-05-09","182.5600","184.6600","182.1100","184.5700","48982972"
"2024-05-10","184.9000","185.0900","182.1300","183.0500","50759496"
"2024-05-13","185.4350","187.1000","184.6200","186.2800","72044809"
"2024-05-14","187.5100","188.3000","186.2900","187.4300","52393619"
"2024-05-15","187.9100","190.6500","187.3700","189.7200","70399988"
"2024-05-16","190.4700","191.0950","189.6601","189.8400","52845230"
"2024-05-17","189.5100","190.8100","189.1800","189.8700","41282925"
"2024-05-20","189.3250","191.9199","189.0100","191.0400","44361275"
"2024-05-21","191.0900","192.7300","190.9201","192.3500","42309401"
"2024-05-22","192.2650","192.8231","190.2700","190.9000","34648547"
"2024-05-23","190.9800","191.0000","186.6250","186.8800","51005924"
"2024-05-24","188.8200","190.5800","188.0404","189.9800","36326975"
"2024-05-28","191.5100","193.0000","189.1000","189.9900","52280051"
"2024-05-29","189.6100","192.2470","189.5100","190.2900","53068016"
"2024-05-30","190.7600","192.1800","190.6300","191.2900","49947941"
"2024-05-31","191.4400","192.5700","189.9100","192.2500","75158277"
"2024-06-03","192.9000","194.9900","192.5200","194.0300","50080539"
"2024-06-04","194.6350","195.3200","193.0342","194.3500","47471445"
"2024-06-05","195.4000","196.9000","194.8700","195.8700","54156785"
"2024-06-06","195.6850","196.5000","194.1700","194.4800","41181753"
"2024-06-07","194.6500","196.9400","194.1400","196.8900","53103912"
"2024-06-10","196.9000","197.3000","192.1500","193.1200","97262077"
"2024-06-11","193.6500","207.1600","193.6300","207.1500","172373296"
"2024-06-12","207.3700","220.2000","206.9000","213.0700","198134293"
"2024-06-13","214.7400","216.7500","211.6000","214.2400","97862729"
"2024-06-14","213.8500","215.1700","211.3000","212.4900","70122748"
"2024-06-17","213.3700","218.9500","212.7200","216.6700","93728300"
"2024-06-18","217.5900","218.6300","213.0000","214.2900","79943254"
"2024-06-20","213.9300","214.2400","208.8500","209.6800","86172451"
"2024-06-21","210.3900","211.8900","207.1100","207.4900","246421353"
"2024-06-24","207.7200","212.7000","206.5900","208.1400","80727006"
"2024-06-25","209.1500","211.3800","208.6100","209.0700","56713868"
"2024-06-26","211.5000","214.8600","210.6400","213.2500","66213186"
"2024-06-27","214.6900","215.7395","212.3500","214.1000","49772707"
"2024-06-28","215.7700","216.0700","210.3000","210.6200","82542718"
"2024-07-01","212.0900","217.5100","211.9200","216.7500","60402929"
"2024-07-02","216.1500","220.3800","215.1000","220.2700","58046178"
"2024-07-03","220.0000","221.5500","219.0300","221.5500","37369801"
"2024-07-05","221.6500","226.4500","221.6500","226.3400","60412408"
"2024-07-08","227.0900","227.8500","223.2500","227.8200","59085861"
"2024-07-09","227.9300","229.4000","226.3721","228.6800","48169822"
"2024-07-10","229.3000","233.0800","229.2500","232.9800","62627687"
"2024-07-11","231.3900","232.3900","225.7700","227.5700","64710617"
"2024-07-12","228.9200","232.6400","228.6800","230.5400","53046527"
"2024-07-15","236.4800","237.2300","233.0900","234.4000","62631252"
"2024-07-16","235.0000","236.2700","232.3300","234.8200","43234278"
"2024-07-17","229.4500","231.4599","226.6400","228.8800","57345884"
"2024-07-18","230.2800","230.4400","222.2700","224.1800","66034585"
"2024-07-19","224.8200","226.8000","223.2750","224.3100","49151453"
"2024-07-22","227.0100","227.7800","223.0900","223.9600","48201835"
"2024-07-23","224.3650","226.9400","222.6800","225.0100","39960260"
"2024-07-24","224.0000","224.8000","217.1300","218.5400","61777576"
"2024-07-25","218.9300","220.8500","214.6200","217.4900","51391199"
"2024-07-26","218.7000","219.4900","216.0100","217.9600","41601345"
"2024-07-29","216.9600","219.3000","215.7500","218.2400","36311778"
"2024-07-30","219.1900","220.3250","216.1200","218.8000","41643840"
"2024-07-31","221.4400","223.8200","220.6300","222.0800","50036262"
"2024-08-01","224.3700","224.4800","217.0200","218.3600","62500996"
"2024-08-02","219.1500","225.6000","217.7100","219.8600","105568560"
"2024-08-05","199.0900","213.5000","196.0000","209.2700","119548589"
"2024-08-06","205.3000","209.9900","201.0700","207.2300","69660488"
"2024-08-07","206.9000","213.6400","206.3900","209.8200","63516417"
"2024-08-08","213.1100","214.2000","208.8300","213.3100","47161149"
"2024-08-09","212.1000","216.7800","211.9700","216.2400","42201646"
"2024-08-12","216.0700","219.5099","215.6000","217.5300","38028092"
"2024-08-13","219.0100","221.8900","219.0100","221.2700","44155331"
"2024-08-14","220.5700","223.0300","219.7000","221.7200","41960574"
"2024-08-15","224.6000","225.3500","222.7600","224.7200","46414013"
"2024-08-16","223.9200","226.8271","223.6501","226.0500","44340240"
"2024-08-19","225.7200","225.9900","223.0400","225.8900","40687813"
